"id"	"name"	"users.x"	"users.y"	"custom_udzial"	"poland_udzial"	"percent"	"affinity"	"diff"
"1"	"6013516370183"	"Commuters"	3e+05	610000	5.88	4.07	49.18	144	1.81
"2"	"6003808923172"	"Technology early adopters"	2e+05	430000	3.92	2.87	46.51	137	1.05
"3"	"6004854404172"	"Technology late adopters"	840000	1800000	16.47	12	46.67	137	4.47
"4"	"6008297697383"	"Returned from trip 2 weeks ago"	150000	340000	2.94	2.27	44.12	130	0.67
"5"	"6028004362783"	"Professional Football (US)"	920000	2100000	18.04	14	43.81	129	4.04
"6"	"6011390261383"	"Huawei"	170000	390000	3.33	2.6	43.59	128	0.73
"7"	"6008261969983"	"Returned from trip 1 week ago"	120000	280000	2.35	1.87	42.86	126	0.48
"8"	"6004385886572"	"HTC"	240000	570000	4.71	3.8	42.11	124	0.91
"9"	"6007847947183"	" Console Gamers"	620000	1500000	12.16	10	41.33	122	2.16
"10"	"6017521096783"	"Gmail Users"	1100000	2700000	21.57	18	40.74	120	3.57
"11"	"6017253531383"	"4G Connection"	1800000	4400000	35.29	29.33	40.91	120	5.96
"12"	"6022788483583"	"Frequent International Travelers"	360000	880000	7.06	5.87	40.91	120	1.19
"13"	"6048519607583"	" Summer Games 2016"	610000	1500000	11.96	10	40.67	120	1.96
"14"	"6015235368383"	"4G (US)"	1800000	4500000	35.29	30	40	118	5.29
"15"	"6015559470583"	"Expats (All)"	180000	450000	3.53	3	40	118	0.53
"16"	"6002714895372"	"All frequent travelers"	170000	430000	3.33	2.87	39.53	116	0.46
"17"	"6004385865172"	"Sony"	590000	1500000	11.57	10	39.33	116	1.57
"18"	"6006298077772"	"Primary OS Windows 8"	740000	1900000	14.51	12.67	38.95	115	1.84
"19"	"6010095777183"	"iPhone 5S"	120000	310000	2.35	2.07	38.71	114	0.28
"20"	"6004384041172"	"All iOS devices"	5e+05	1300000	9.8	8.67	38.46	113	1.13
"21"	"6007078565383"	"New smartphone and tablet owners"	360000	950000	7.06	6.33	37.89	112	0.73
"22"	"6015547900583"	"Primary Browser: Chrome"	3800000	1e+07	74.51	66.67	38	112	7.84
"23"	"6015683810783"	"Facebook Page Admins"	1100000	2900000	21.57	19.33	37.93	112	2.24
"24"	"6017253511583"	"3G Connection"	2100000	5500000	41.18	36.67	38.18	112	4.51
"25"	"6002714898572"	"Small business owners"	140000	370000	2.75	2.47	37.84	111	0.28
"26"	"6015235450983"	"3G (US)"	2e+06	5300000	39.22	35.33	37.74	111	3.89
"27"	"6004385868372"	"LG"	560000	1500000	10.98	10	37.33	110	0.98
"28"	"6004383049972"	"Smartphones and tablets"	4500000	1.2e+07	88.24	80	37.5	110	8.23999999999999
"29"	"6015235495383"	"WiFi Connection"	3400000	9100000	66.67	60.67	37.36	110	6
"30"	"6016286031583"	"Smartphone Owners"	4100000	1.1e+07	80.39	73.33	37.27	110	7.06
"31"	"6029587661983"	"Primary OS Windows 10"	1200000	3200000	23.53	21.33	37.5	110	2.2
"32"	"6004386044572"	"All Android devices"	3700000	1e+07	72.55	66.67	37	109	5.88
"33"	"6013016790183"	"Galaxy S4"	130000	350000	2.55	2.33	37.14	109	0.22
"34"	"6014808618583"	"Galaxy S5"	160000	430000	3.14	2.87	37.21	109	0.27
"35"	"6004382299972"	"All mobile devices"	4400000	1.2e+07	86.27	80	36.67	108	6.27
"36"	"6003986707172"	"Primary OS Windows 7"	1800000	5e+06	35.29	33.33	36	106	1.96
"37"	"6004386010572"	"Samsung"	1700000	4700000	33.33	31.33	36.17	106	2
"38"	"6015593608983"	"Primary Browser: Safari"	410000	1200000	8.04	8	34.17	100	0.0399999999999991
"39"	"6015547847583"	"Primary Browser: Firefox"	570000	1900000	11.18	12.67	30	88	-1.49
"40"	"6016286626383"	"Tablet Owners"	450000	1500000	8.82	10	30	88	-1.18
"41"	"6015593776783"	"Primary Browser: Internet Explorer"	140000	5e+05	2.75	3.33	28	83	-0.58
"42"	"6019221046583"	"Played game in last 14 days"	340000	1200000	6.67	8	28.33	83	-1.33
"43"	"6003966466972"	"Primary OS Windows XP"	240000	9e+05	4.71	6	26.67	78	-1.29
"44"	"6019221038183"	"Played game in last 7 days"	260000	980000	5.1	6.53	26.53	78	-1.43
"45"	"6019451459783"	"Plays 0 out of 7 days"	160000	610000	3.14	4.07	26.23	77	-0.93
"46"	"6019246164583"	"Played game in last 3 days"	210000	820000	4.12	5.47	25.61	75	-1.35
"47"	"6019221024783"	"Played game yesterday"	120000	510000	2.35	3.4	23.53	69	-1.05
