"id";"fan_page_id";"day";"fans";"fans_change";"talkingabout";"engaged_fans";"engaged_newly_fans";"ini";"ini_fan";"likes";"comments";"posts";"multimedia";"likes_fan";"comments_fan";"posts_fan";"multimedia_fan";"votes";"shares";"response_count";"response_median";"response_mean";"response_max";"response_min";"engaged_fans_likes";"engaged_fans_comments";"engaged_fans_posts";"engaged_fans_multimedia";"engaged_fans_votes";"engaged_fans_shares";"is_historic";"created_at";"updated_at"
"1";248088141;3;"2015-01-01";291614;-19;946;6;1;31;31;3;1;3;0;3;1;3;0;0;0;2;63302;63302;63922;62682;3;1;3;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:42"
"2";248088143;3;"2015-01-02";291628;14;485;35;16;243;175;15;30;12;1;15;16;12;0;0;0;12;3703;15113;55001;507;15;13;12;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:25:32"
"3";248088145;3;"2015-01-03";291643;15;421;21;15;218;148;6;25;14;0;4;8;14;0;0;0;14;16289;20398;69147;193;4;8;14;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:25:37"
"4";248088147;3;"2015-01-04";291627;-16;352;12;6;138;118;2;18;8;0;2;13;8;0;0;0;4;26380;36614;87826;5872;2;8;8;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:40"
"5";248088149;3;"2015-01-05";291659;32;455;57;27;600;440;16;86;27;2;16;49;27;1;0;0;25;1992;5806;85946;97;14;32;27;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"6";248088151;3;"2015-01-06";291690;31;470;24;16;186;140;10;18;13;0;8;7;13;0;0;0;13;23352;24471;44671;4085;8;7;13;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:44"
"7";248088153;3;"2015-01-07";291729;39;470;51;22;242;193;38;27;10;0;37;17;9;0;0;1;6;689;1235;2895;290;35;15;9;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:40"
"8";248088155;3;"2015-01-08";291797;68;529;43;15;290;214;26;29;13;1;26;13;13;0;0;2;13;3679;6243;38213;341;25;9;13;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"9";248088157;3;"2015-01-09";291885;88;497;58;26;318;234;46;31;15;1;46;13;15;0;0;1;14;5704;11539;52186;450;38;9;15;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"10";248088159;3;"2015-01-10";291921;36;535;30;16;244;219;12;21;17;1;11;15;17;1;0;0;12;28857;24698;44768;898;10;11;17;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:41"
